Theme,Metric Name,Defintion,Variations (grouped by),Logic ,Formula,Abbreviation,Tool Used,Chart Link,Conversion Period,Rreference
Acquisition,Trial Rate,"Percentage of users takng trial out of no. of users signing up on that day (24 hours, not calendar date)","dialect 
channel
deeplink
content
campaign
platform",,trial_activated / signup_successful,TR,Amplitude,https://app.amplitude.com/analytics/STAGEAPP/chart/nv4js28t?linkingDashboardId=bn1wl7q7&sharingId=vPCcw9FH,"D0, can also be looked at D1, D7, D10","SignUps from : RAW_PROD.EVENTS.SIGNUP_SUCCESSFUL
Trials from : RAW_PROD.EVENTS_BACKEND.AF_START_TRIAL"
Acquisition,Cuts wise (TR/TCR/SR/SCR),,"content wise 
by dialect
by channel
PG wise (In app/ psp bifurcation)
timing (When do user watch mostly,cancel mostly, takes trial)
correlation with Retention
correlation with consumption
by Plan IDs",,,,,,,"Trials from : ANALYTICS_PROD.DBT_CORE.FCT_USER_SUBSCRIPTION_HISTORY - column name plan_category values can be trial, New Subscription, Renewal

Cancellation from : RAW_PROD.EVENTS_BACKEND.TRIAL_MANDATE_REVOKED and RAW_PROD.EVENTS_BACKEND.TRIAL_MANDATE_PAUSED"
Activation,AHA Moment Achieved,Percentage of users watching in there trial period for greater than equal to 4 days out of total no. of users taking trial on that day,"dialect 
channel
deeplink
content
campaign
platform",,,AHA,Snowflake,https://stage.metabaseapp.com/dashboard/3073-activation-dashboard?app_type=&date_range=past30days&dialect=&geography=&install_flag=&planid_removal=&tab=2774-aha-moment&time_grouping=,,Aha from : ANALYTICS_PROD.DBT_ADHOC.ADHOC_TRIAL_JOURNEY
Engagement,M0 Conversion,Percentage of new subscribers watching something in first 30 days of the subscription period out of total number of new subscribers,"cohort: trial watch days bucket
geography: core/ non core
install status: install  / non install
dialect
","For New Subscribers: 
- table: analytics_prod.dbt_core.fct_user_subscription_history 
- columns: user_id, subscription_start_at_utc, subscription_end_at_utc
- filters: plan_category = 'New Subscription'

For Content Watch History:
- table: analytics_prod.dbt_core.fct_user_content_watch_daily
- columns: user_id, watch_date, content_id
- filters: content_id != 0",Total M0 Watchers / Total New Subscribers,M0 WR,Snowflake,,,ANALYTICS_PROD.DBT_CORE.FCT_USER_SUBSCRIPTION_HISTORY 
Content,Intentional Rate,Percentage of watchers watching a particular content more than 60 seconds out of total watchers for that content,"Time period
",,Intentional Watchers / Total Watchers,,Snowflake,https://stage.metabaseapp.com/dashboard/930-content-performance-dashboard?completion_threshold=0.8&content_dialect=har&content_slug=&content_type=&duration_bucket=&hook_time_threshold_%28sec%29=240&last_secs_exclusion_%28completion_rate%29=0&show_slug=vidshi-bahu&tab=298-title-leaderboard&time_range=past60days,,ANALYTICS_PROD.DBT_CORE.FCT_USER_CONTENT_WATCH_DAILY 
Content,Completion Rate,"Intentional Watcher: A user who watches at least 60 seconds of a piece of content
Hooked Watcher: A user who has watched at least 240 seconds of content, but this can be modified using the Hook Time Threshold filter.
Completion Rate: Count of Completers / Count of Started Watching. If completion threshold is 0.8 and a video is 10 mins long, you will be called a completer if you watch atleast 8 minutes of the content.
Watch Rate: Average actual watch time / Length of the video. So if average actual watched time is 6 min 30 sec and length of the video is 10 mins, watch rate will be 65%.","content wise, all users, intentional users, hooked users",,Count of Completers / Count of Started Watching.,completion rate,Snowflake,https://stage.metabaseapp.com/dashboard/930-content-performance-dashboard?completion_threshold=0.8&content_dialect=har&content_slug=&content_type=&duration_bucket=&hook_time_threshold_%28sec%29=240&last_secs_exclusion_%28completion_rate%29=0&show_slug=mahapunarjanam-har&tab=298-title-leaderboard&time_range=past30days,,"For user journey : ANALYTICS_PROD.DBT_CORE.FCT_USER_CONTENT_WATCH_DAILY, 
for content reference : ANALYTICS_PROD.DBT_CORE.DIM_CONTENT"
Content,Watch Through Rate,How many Active user in a specific duration and in that a how many user watch a specific title.,Watch duration,,No Idea,WTR,Snowflake,No,,"ANALYTICS_PROD.DBT_CORE.FCT_USER_CONTENT_WATCH_DAILY,  ANALYTICS_PROD.DBT_CORE.DIM_CONTENT "
Content ,Consumpition Start,How many user to start a title,Time,,NO Idea,CS,Metabase / Snowflake,https://stage.metabaseapp.com/dashboard/930-content-performance-dashboard?completion_threshold=0.8&content_dialect=har&content_slug=&content_type=&duration_bucket=&hook_time_threshold_%28sec%29=240&last_secs_exclusion_%28completion_rate%29=0&show_slug=mahapunarjanam-har&tab=298-title-leaderboard&time_range=past30days,,ANALYTICS_PROD.DBT_CORE.FCT_USER_CONTENT_WATCH_DAILY
Activation,TCR & its deeper cohort correlation & user behaviour ,Trial Cancellation Rate,"Overall, dialect wise, app/web split, time(within 24hrs, d1, d2,etc), playback started, consumption %, pop-ups, acquisition source & acquisition content slug, feature interaction  D0 TCR & user activity of these cohorts like consumption not started, consumption started but not achieved consumption 20, consumption 20, consumption 90, watched more than 1 title, how many & which pop-ups or experiments viewed, Acquistion source and aquisition content for D0 TCR, app/web split, feature interaction(search,watchlist,homepage,download,profile)), Similarly D1-D7 TCR & its user behaviour & if D1 &D2 TCR cohorts have similar behaviour, D3-D7 TCR Cohorts have similar behaviour",,,TCR,Amplitude,,,"Use event trial_activated for activation, and for cancellation use trial_mandate_paused and trial_mandate_revoked"
Activation,Trial Retention ,% of users who doesn't cancel trial.,"consumption & app interaction behaviour, time, content, dialect,",,,,Amplitude,,,"Use event trial_activated for activation, and for cancellation use trial_mandate_paused and trial_mandate_revoked"
Activation,AHA,Users who are active start consumption on 4 distinct days of their trial,"aha user behaviour, app interactions, content interaction, feature interactions",,,,Snowflake,,,Aha from : ANALYTICS_PROD.DBT_ADHOC.ADHOC_TRIAL_JOURNEY
Activation,Trial to Subscription Rate,Users who successfully converts into a paid subscriber post trial.,Trial to first time SR converted user behaviour vs not SR users behaviour ,,,,,,,RAW_PROD.EVENTS_BACKEND.AF_SUBSCRIBE
Acquisition,D0 Subscription Cancellation Rate (SCR),Percentage of users who paused or revoked their subscription mandate within 24 hours of subscription activation,"Can be tracked by dialect, channel, plan type",,(subscription_mandate_paused + subscription_mandate_revoked) / subscription_activated,SCR,Amplitude,https://app.amplitude.com/analytics/STAGEAPP/chart/dm502kd9,Within 1 day (86400 seconds),"RAW_PROD.EVENTS.PLAYBACK_STARTED, RAW_PROD.EVENTS.TRIAL_ACTIVATED"
Acquisition,D0 Trial Retention,Percentage of trial users who watch content on Day 0 (activation day),"By dialect (Haryanvi, Rajasthani, Bhojpuri)",,No. of trial users watching on Day 0 / Total trial users activated,D0 TR,Amplitude (Retention Analysis),https://app.amplitude.com/analytics/STAGEAPP/chart/0t0vnwop,Day 0 (same day as trial activation),"RAW_PROD.EVENTS.PLAYBACK_STARTED, RAW_PROD.EVENTS.TRIAL_ACTIVATED"
Acquisition,D1 Trial Retention,Percentage of trial users who watch content on Day 1 after trial activation,"By dialect (Haryanvi, Rajasthani, Bhojpuri)",,No. of trial users watching on Day 1 / Total trial users activated,D1 TR,Amplitude (Retention Analysis),https://app.amplitude.com/analytics/STAGEAPP/chart/bdxebc3e,Day 1 after trial start,"RAW_PROD.EVENTS.PLAYBACK_STARTED, RAW_PROD.EVENTS.TRIAL_ACTIVATED"
Acquisition,D2 Trial Retention,Percentage of trial users who watch content on Day 2 after trial activation,Overall and by dialect,,No. of trial users watching on Day 2 / Total trial users activated,D2 TR,Amplitude (Retention Analysis),https://app.amplitude.com/analytics/STAGEAPP/chart/dn0r1zdm,Day 2 after trial start,"RAW_PROD.EVENTS.PLAYBACK_STARTED, RAW_PROD.EVENTS.TRIAL_ACTIVATED"
Acquisition,D3 Trial Retention,Percentage of trial users who watch content on Day 3 after trial activation,Overall and by dialect,,No. of trial users watching on Day 3 / Total trial users activated,D3 TR,Amplitude (Retention Analysis),https://app.amplitude.com/analytics/STAGEAPP/chart/mco8ln9f,Day 3 after trial start,"RAW_PROD.EVENTS.PLAYBACK_STARTED, RAW_PROD.EVENTS.TRIAL_ACTIVATED"
Acquisition,D4 Trial Retention,Percentage of trial users who watch content on Day 4 after trial activation,Overall and by dialect,,No. of trial users watching on Day 4 / Total trial users activated,D4 TR,Amplitude (Retention Analysis),https://app.amplitude.com/analytics/STAGEAPP/chart/noq647y1,Day 4 after trial start,"RAW_PROD.EVENTS.PLAYBACK_STARTED, RAW_PROD.EVENTS.TRIAL_ACTIVATED"
Acquisition,D5 Trial Retention,Percentage of trial users who watch content on Day 5 after trial activation,Overall and by dialect,,No. of trial users watching on Day 5 / Total trial users activated,D5 TR,Amplitude (Retention Analysis),https://app.amplitude.com/analytics/STAGEAPP/chart/of2ll8yy,Day 5 after trial start,"RAW_PROD.EVENTS.PLAYBACK_STARTED, RAW_PROD.EVENTS.TRIAL_ACTIVATED"
Acquisition,D6 Trial Retention,Percentage of trial users who watch content on Day 6 after trial activation,Overall and by dialect,,No. of trial users watching on Day 6 / Total trial users activated,D6 TR,Amplitude (Retention Analysis),https://app.amplitude.com/analytics/STAGEAPP/chart/4sfoebhz,Day 6 after trial start,"RAW_PROD.EVENTS.PLAYBACK_STARTED, RAW_PROD.EVENTS.TRIAL_ACTIVATED"
Acquisition,D7 Trial Retention,Percentage of trial users who watch content on Day 7 after trial activation,Overall and by dialect,,No. of trial users watching on Day 7 / Total trial users activated,D7 TR,Amplitude (Retention Analysis),https://app.amplitude.com/analytics/STAGEAPP/chart/obpmypcs,Day 7 after trial start,"RAW_PROD.EVENTS.PLAYBACK_STARTED, RAW_PROD.EVENTS.TRIAL_ACTIVATED"
Acquisition,Trial Retention - Haryanvi (D0-D7),Day-by-day retention metrics specifically for Haryanvi dialect users,"Haryanvi dialect only, excludes trial cancellers",,watching_users / trial_activated (Haryanvi users only),TR (Har),Amplitude (Retention Analysis),https://app.amplitude.com/analytics/STAGEAPP/chart/c7f63gli,Days 0-7 after trial start,"RAW_PROD.EVENTS.PLAYBACK_STARTED, RAW_PROD.EVENTS.TRIAL_ACTIVATED"
Acquisition,Trial Retention - Bhojpuri (D0-D7),Day-by-day retention metrics specifically for Bhojpuri dialect users,Bhojpuri dialect only,,watching_users / trial_activated (Bhojpuri users only),TR (Bho),Amplitude (Retention Analysis),https://app.amplitude.com/analytics/STAGEAPP/chart/bo7tggq0,Days 0-7 after trial start,"RAW_PROD.EVENTS.PLAYBACK_STARTED, RAW_PROD.EVENTS.TRIAL_ACTIVATED"
Acquisition,Trial Retention - Rajasthani (D0-D7),Day-by-day retention metrics specifically for Rajasthani dialect users,Rajasthani dialect only,,watching_users / trial_activated (Rajasthani users only),TR (Raj),Amplitude (Retention Analysis),https://app.amplitude.com/analytics/STAGEAPP/chart/0bc7bt0g,Days 0-7 after trial start,"RAW_PROD.EVENTS.PLAYBACK_STARTED, RAW_PROD.EVENTS.TRIAL_ACTIVATED"
Acquisition,Number of Subscriptions (Overall & Dialect-Wise),Count of unique users who activated subscriptions per day,"Overall, Haryanvi, Rajasthani, Bhojpuri",,COUNT(DISTINCT user_id WHERE subscription_activated),# Subs,Amplitude,https://app.amplitude.com/analytics/STAGEAPP/chart/99zo1oqi,Daily,
Acquisition,Number of Signups (Overall & Channel-Wise),Count of unique users who successfully signed up per day,"Overall, Meta (Facebook), Google",,COUNT(DISTINCT user_id WHERE signup_successful),# Signups,Amplitude,https://app.amplitude.com/analytics/STAGEAPP/chart/cd7vj1b6,Daily,
Acquisition,Number of App Installs (Today vs Yesterday),"Count of unique users who installed the app, tracked hourly for day-over-day comparison",Hourly comparison (today vs yesterday),,COUNT(DISTINCT user_id WHERE app_install),# Installs,Amplitude,https://app.amplitude.com/analytics/STAGEAPP/chart/w9nutrjw,Hourly tracking,
Acquisition,Deeplink Detection Rate,Percentage of signups that contain deeplink parameters indicating they came through a deeplink,Overall percentage,,(signup_successful WITH deeplink contains [har/bho/raj]) / (total signup_successful) * 100,Deeplink %,Amplitude,https://app.amplitude.com/analytics/STAGEAPP/chart/vq02wjuk,Daily,
Acquisition,Login Funnel Conversion (Install to Login),Percentage of users who successfully log in after installing the app within 1 hour,Overall,,login_successful / app_install (within 1-hour window),Login CVR,Amplitude,https://app.amplitude.com/analytics/STAGEAPP/chart/t225vkw8,Within 1 hour (3600 seconds),
Acquisition,Number of Trials (Overall & Channel-Wise),"Count of unique users who activated trials per day, segmented by acquisition channel","Overall, Google (utm_source=google), Facebook (utm_source=facebook)",,COUNT(DISTINCT user_id WHERE trial_activated),# Trials,Amplitude,https://app.amplitude.com/analytics/STAGEAPP/chart/gzknnjv3,Daily,
Acquisition,"Trial Rate by Channel (Overall, Meta, Google)","Conversion rate from signup to trial activation, broken down by acquisition channel","Overall, Meta (Facebook), Google",,trial_activated / signup_successful (filtered by channel),TR (Channel),Amplitude,https://app.amplitude.com/analytics/STAGEAPP/chart/3eqv8px3,D0 (within 24 hours),
Acquisition,Trial Rate by Dialect - Haryanvi,Conversion rate from signup to trial activation for users who received Haryanvi culture,Haryanvi dialect only,,trial_activated / signup_successful (filtered by user_culture_received=har),TR (Har),Amplitude,https://app.amplitude.com/analytics/STAGEAPP/chart/2oir6uje,D0 (within 24 hours / 86400 seconds),
Acquisition,Trial Rate by Dialect - Rajasthani,Conversion rate from signup to trial activation for users who received Rajasthani culture,Rajasthani dialect only,,trial_activated / signup_successful (filtered by user_culture_received=raj),TR (Raj),Amplitude,https://app.amplitude.com/analytics/STAGEAPP/chart/b6w1i6d6,D0 (within 24 hours / 86400 seconds),
Acquisition,Trial Rate by Dialect - Bhojpuri,Conversion rate from signup to trial activation for users who received Bhojpuri culture,Bhojpuri dialect only,,trial_activated / signup_successful (filtered by user_culture_received=bho),TR (Bho),Amplitude,https://app.amplitude.com/analytics/STAGEAPP/chart/gls63q60,D0 (within 24 hours / 86400 seconds),
Acquisition,Trial Rate (Hourly Today vs Yesterday),Hourly signup-to-trial conversion rate comparing todays performance against yesterday,Hourly granularity with period-over-period comparison,,trial_activated / signup_successful (by hour),TR (Hourly),Amplitude,https://app.amplitude.com/analytics/STAGEAPP/chart/bbgggrjh,"D0, within 1 hour (3600 seconds)",
Acquisition,D0 Subscription Rate by Dialect,"Conversion rate from trial to subscription within 9 days, segmented by dialect","Haryanvi, Rajasthani, Bhojpuri",,subscription_activated / trial_activated (by dialect),SR (Dialect),Amplitude,https://app.amplitude.com/analytics/STAGEAPP/chart/wmwzwp57,"D0-D9 (within 777,600 seconds ≈ 9 days)",
Acquisition,AHA Moment Achievement Rate by Dialect,"Percentage of trial users achieving AHA moment (watching ≥4 days during trial), by dialect","Haryanvi, Rajasthani, Bhojpuri",,aha_moment_achieved / trial_activated (by dialect),AHA % (Dialect),Amplitude,https://app.amplitude.com/analytics/STAGEAPP/chart/1kmgdbbg,"Within 10 days (864,000 seconds)",
Acquisition,Payment Gateway Performance Rate - Overall,Success rate of trial payment initiation to trial activation (overall),"Overall, today vs yesterday comparison",,trial_activated / trial_payment_initiated,PG Performance,Amplitude,https://app.amplitude.com/analytics/STAGEAPP/chart/3j34vcz0,Real-time (5-minute intervals),
Acquisition,Payment Gateway Performance Rate - PTM (Paytm),Success rate of trial payment to activation specifically for Paytm gateway,"Paytm gateway only, today vs yesterday",,trial_activated / trial_payment_initiated (payment_gateway contains PTM),PG Perf (PTM),Amplitude,https://app.amplitude.com/analytics/STAGEAPP/chart/0yi09vat,Real-time (5-minute intervals),
Acquisition,Payment Gateway Performance Rate - PHP (PhonePe),Success rate of trial payment to activation specifically for PhonePe gateway,"PhonePe gateway only, today vs yesterday",,trial_activated / trial_payment_initiated (payment_gateway contains PHP),PG Perf (PHP),Amplitude,https://app.amplitude.com/analytics/STAGEAPP/chart/p1py7lz8,Real-time (5-minute intervals),
CLM (M0),M0 Watcher %,Percentage of new subscribers watching something in first 30 days of trhe subscription period out of total number of new subscribers,,,,,,,,
CLM (M0),M0 Habit %,Percentage of users who have watched for at least 8 unique watch days in their first 30 days of paid subscription,,,,,,,,
"Re-engagement (Dormant Users)
","Dormant ""Never Watched"" Watch Conversion %","Dormant Users are users in >=31 days of subcription and have not watched anything in last 28 days. 
These are divided in two categories- Never Watched and Previously Watched.
Dormant Never Watched Users are those users who have never watched anything.
Dormant Previously Watched Users are those users who have previously watched something.
Watch Conversion is the percentage of users who watched something under ""Never Watched"" category of dormancy.","These can be filtered under Dialects (HR, RJ, BH), Geography (Core, Non Core) and Install Status (Installed, Uninstalled). These can also segregated under HVU, MVU and LVU (High, Mid and Low Value Users)",,,"HVU- High Value Users
MVU- Mid Value Users
LVU- Low Value Users",Metabase,https://stage.metabaseapp.com/public/dashboard/5eedf887-7418-42bd-ba62-a9462ec489d1?date=2026-01-01~2026-01-31&dialect=&geography=&install_status=&tab=2971-daily,,
"Re-engagement (Dormant Users)
","Dormant ""Previously Watched"" Watch Conversion %","Percentage of users who watched something under ""Previously Watched"" category of dormancy.","These can be filtered under Dialects (HR, RJ, BH), Geography (Core, Non Core) and Install Status (Installed, Uninstalled). These can also segregated under HVU, MVU and LVU (High, Mid and Low Value Users)",,,,,,,
"Re-engagement (Dormant Users)
","Average Watch Time of Dormant ""Never Watched"" Users","It is the average time of ""Never Watched"" category user have spent on that period (day, week, month)",,,,,,,,
"Re-engagement (Dormant Users)
","Average Watch Time of Dormant ""Previously Watched"" Users","It is the average time of ""Previously Watched"" category user have spent on that period (day, week, month)",,,,,,,,
content ,Binge Rate,% of users who watch 2 or more episodes of the same title within one session or within 24 hours of starting Episode 1,,,,,,,,"ANALYTICS_PROD.DBT_CORE.FCT_USER_CONTENT_WATCH_DAILY, ANALYTICS_PROD.DBT_CORE.DIM_CONTENT"
content ,User Active Days (Content-wise),"Average number of distinct days a user stays active on the platform because of a specific content title, counted from first watch",,,,,,,,"ANALYTICS_PROD.DBT_CORE.FCT_USER_CONTENT_WATCH_DAILY, ANALYTICS_PROD.DBT_CORE.DIM_CONTENT"
content ,Mid-Episode Survival (30–50%),% of users who reach 30%–50% completion of an episode after starting it,,,,,,,,"ANALYTICS_PROD.DBT_CORE.FCT_USER_CONTENT_WATCH_DAILY, ANALYTICS_PROD.DBT_CORE.DIM_CONTENT"
content ,Episodes Watched per User (Depth),Average number of episodes watched by users who started the series (Total episodes watched ÷ total starters),,,,,,,,"ANALYTICS_PROD.DBT_CORE.FCT_USER_CONTENT_WATCH_DAILY, ANALYTICS_PROD.DBT_CORE.DIM_CONTENT"
content ,Day 1 Retention,% of users who return to the platform the next day after first watching a specific title,,,,,,,,"ANALYTICS_PROD.DBT_CORE.FCT_USER_CONTENT_WATCH_DAILY, ANALYTICS_PROD.DBT_CORE.DIM_CONTENT"
content ,Day 3 Retention,% of users who return within 3 days after first watching a specific title,,,,,,,,"ANALYTICS_PROD.DBT_CORE.FCT_USER_CONTENT_WATCH_DAILY, ANALYTICS_PROD.DBT_CORE.DIM_CONTENT"
content ,Day 7 Retention,% of users who return within 7 days after first watching a specific title,,,,,,,,"ANALYTICS_PROD.DBT_CORE.FCT_USER_CONTENT_WATCH_DAILY, ANALYTICS_PROD.DBT_CORE.DIM_CONTENT"
content ,Weekly Active Retention,"% of users who remain active at least once per week, tracked week-over-week after starting a title",,,,,,,,"ANALYTICS_PROD.DBT_CORE.FCT_USER_CONTENT_WATCH_DAILY, ANALYTICS_PROD.DBT_CORE.DIM_CONTENT"
content ,Return After Gap,"% of users who return to the same title after a break of X days (e.g., 3+ or 7+ days)",,,,,,,,"ANALYTICS_PROD.DBT_CORE.FCT_USER_CONTENT_WATCH_DAILY, ANALYTICS_PROD.DBT_CORE.DIM_CONTENT"
content ,Micro – Active Days,Number of distinct days a user consumes micro content,,,,,,,,"ANALYTICS_PROD.DBT_CORE.FCT_USER_CONTENT_WATCH_DAILY, ANALYTICS_PROD.DBT_CORE.DIM_CONTENT"
content ,Micro – Repeat Views,% of users who watch the same micro content more than once,,,,,,,,"ANALYTICS_PROD.DBT_CORE.FCT_USER_CONTENT_WATCH_DAILY, ANALYTICS_PROD.DBT_CORE.DIM_CONTENT"
content ,Micro – Skip Rate,% of users who drop within the first 5–10 seconds of a micro video,,,,,,,,"ANALYTICS_PROD.DBT_CORE.FCT_USER_CONTENT_WATCH_DAILY, ANALYTICS_PROD.DBT_CORE.DIM_CONTENT"
content ,Feature – First 72-Hour Consumption,Total unique viewers and total watch time generated within first 72 hours of release,,,,,,,,"ANALYTICS_PROD.DBT_CORE.FCT_USER_CONTENT_WATCH_DAILY, ANALYTICS_PROD.DBT_CORE.DIM_CONTENT"
Engagement ,TTFP (Time to First Play),Time User Spends before starting a show,,,,,,,," for trial - Trials from : RAW_PROD.EVENTS_BACKEND.AF_START_TRIAL, for user watch journey - ANALYTICS_PROD.DBT_CORE.FCT_USER_CONTENT_WATCH_DAILY"
Engagement ,Average Watchtime per Watching Subscriber (Daily),total_watchtime/total_watching_subscribers,,,,,,,,fct_user_content_watch_daily
Engagement ,Median Watchtime per Watching Subscriber (Daily),median from multiple instaces of watchers across days in consideration,,,,,,,,fct_user_content_watch_daily
Engagement ,Average Watchtime per Watching Subscriber (Weekly),avg of weekly watch_time/weekly watchers,,,,,,,,fct_user_content_watch_daily
Engagement ,Median Watchtime per Watching Subscriber (Weekly),median of weekly watch_time/weekly watchers,,,,,,,,fct_user_content_watch_daily
Engagement ,# of Active Days (per watching subscriber),avg of watch active days during time period,,,,,,,,fct_user_content_watch_daily
Re-engagement,M0 Watcher %,% of users watching in M0 ,"Dialect , Install status , install status at the begining of subscription , plan id , time grouping ",,,,,,,
Re-engagement (M1 users),>=M1 Active Users ,Total number of active M1 users on a daily basis.,"Overall and by dialect, Install Flag, Active Date, Time Grouping, Subscrption Stage",,,,,,,
Re-engagement (M1 users),>=M1 Watchers User  ,Number of users watching from M1 active users,"Overall and by dialect, Install Flag, Active Date, Time Grouping, Subscrption Stage",,,,,,,
Re-engagement (M1 users),M1 Watcher Conversion %,Percentage of M1 users who watched content.,"Overall and by dialect, Install Flag, Active Date, Time Grouping, Subscrption Stage",,,,,,,
Re-engagement (M1 users),Week-on-Week Retention of M1 Watchers %,Percentage of M1 users who watched content in the previous week and also watched again in the following week.,"Overall and by dialect, Install Flag, Active Date, Time Grouping, Subscrption Stage",,,,,,,
Re-engagement (M1 users),Users Watched – Previous Calendar Week,Number of unique users who watched content in the previous calendar week.,"Overall and by dialect, Install Flag, Active Date, Time Grouping, Subscrption Stage",,,,,,,
Re-engagement (M1 users), Users Watched – Current Calendar Week,Number of unique users who watched content in the current calendar week.,"Overall and by dialect, Install Flag, Active Date, Time Grouping, Subscrption Stage",,,,,,,
Re-engagement (M1 users),Retention Filter – Till Day of the Week,Day-wise (Day 1–Day 7) count of users retained from the previous week who watched content on each day of the current week.,"Overall and by dialect, Install Flag, Active Date, Time Grouping, Subscrption Stage",,,,,,,
