Theme,Metric Name,Defintion,Variations (grouped by),Logic ,Formula,Abbreviation,Tool Used,Chart Link,Conversion Period,Rreference
Re-engagement (M1 users),≥ M1 Active Users – Yesterday (User Eligibility),"Number of M1 users by last week’s activity status: Repeat (active last 2 weeks), Res1 (inactive 1 week), Res2 (inactive 2 weeks), Res3 (inactive 3 weeks).","Overall and by dialect, Install Flag, Active Date, Time Grouping, Subscrption Stage",,,,,,,
Re-engagement (M1 users),≥ M1 Watchers – User Eligibility (Overall),"Number of users who watched content, split by eligibility segments: Repeat, Res1, Res2, and Res3.","Overall and by dialect, Install Flag, Active Date, Time Grouping, Subscrption Stage",,,,,,,
Re-engagement (M1 users),≥ M1 Active Users – User Eligibility,"Number of active users across eligibility segments: Repeat, Res1, Res2, and Res3.","Overall and by dialect, Install Flag, Active Date, Time Grouping, Subscrption Stage, ",,,,,,,
Re-engagement (M1 users),≥ M1 Watcher Conversion – User Eligibility %,"Percentage of users who watched content from each eligibility segment: Repeat, Res1, Res2, and Res3.","Overall and by dialect, Install Flag, Active Date, Time Grouping, Subscrption Stage, ",,,,,,,
Re-engagement (DAU),Daily Subscribed Users,Total number of users with an active subscription on a given day.,"Overall, and by dialect, Install Flag, Active Date, Time Grouping, Subscription Stage, App type, and Subscription source, geography,Eligibility on Active Date",,,,,,,
Re-engagement  (DAU),DAU – Watcher Users,Number of subscribed users who watched content on a given day.,"Overall, and by dialect, Install Flag, Active Date, Time Grouping, Subscription Stage, App type, and Subscription source, geography,Eligibility on Active Date",,,,,,,
Re-engagement  (DAU),DAU – Conversion %,Percentage of subscribed users who watched content on a given day.,"Overall, and by dialect, Install Flag, Active Date, Time Grouping, Subscription Stage, App type, and Subscription source, geography,Eligibility on Active Date",,,,,,,
Re-engagement  (WAU),Weekly Subscribed Users,Total number of users with an active subscription during the week.,"Overall, and by dialect, Install Flag, Active Date, Time Grouping, Subscription Stage, App type, and Subscription source, geography,Eligibility on Active Date",,,,,,,
Re-engagement  (WAU),WAU – Watcher Users,Number of subscribed users who watched content at least once during the week.,"Overall, and by dialect, Install Flag, Active Date, Time Grouping, Subscription Stage, App type, and Subscription source, geography,Eligibility on Active Date",,,,,,,
Re-engagement  (WAU),WAU – Conversion %,Percentage of subscribed users who watched content during the week.,"Overall, and by dialect, Install Flag, Active Date, Time Grouping, Subscription Stage, App type, and Subscription source, geography,Eligibility on Active Date",,,,,,,
Re-engagement  (MAU),Monthly Subscribed Users,Total number of users with an active subscription during the month.,"Overall, and by dialect, Install Flag, Active Date, Time Grouping, Subscription Stage, App type, and Subscription source, geography,Eligibility on Active Date",,,,,,,
Re-engagement  (MAU),MAU – Watcher Users,Number of subscribed users who watched content at least once during the month.,"Overall, and by dialect, Install Flag, Active Date, Time Grouping, Subscription Stage, App type, and Subscription source, geography,Eligibility on Active Date",,,,,,,
Re-engagement  (MAU),MAU – Conversion %,Percentage of subscribed users who watched content during the month.,"Overall, and by dialect, Install Flag, Active Date, Time Grouping, Subscription Stage, App type, and Subscription source, geography,Eligibility on Active Date",,,,,,,
Re-engagement (M0 users),M0 Users,Users in their first 30 days of the subscription,"Dialect, Install Status, Install Status at the begining of the subscription, Plan Id, Time grouping, Geography, Trial watch days, Trial watch day bucket, platforms, First Watch Week, Average Watch Days, Median Watch Days,  Current ",,,,Metabase,https://stage.metabaseapp.com/dashboard/2182-m0-engagement-action-plan?activity_count_bucket=&app_install_status=installed&app_install_status_for_habit=installed30&app_install_status_for_habit=installed&app_type=&date=past30days&days_since_subscription_start=29&dialect=&geography=&m0_date_=&planid_removal=&subscription_age_week=&subscription_source=via_trial&tab=1123-m0-trends&time_grouping=day&user_cohort_identifier=,First 30 days from subscription,
Re-engagement (M0 users),M0 Watcher %,Percentage of new subscribers watching something in first 30 days of the subscription period out of total number of new subscribers in their first 30 days,"Dialect, Install Status, Install Status at the begining of the subscription, Plan Id, Time grouping, Geography, Trial watch days, Trial watch day bucket, First playback channel, Active watch days per active users, Active watch days per active users by dialect, platforms, First Watch Week, Average Watch Days, Median Watch Days",,M0 users watched anything/M0 users,,Metabase,https://stage.metabaseapp.com/dashboard/2182-m0-engagement-action-plan?activity_count_bucket=&app_install_status=installed&app_install_status_for_habit=installed30&app_install_status_for_habit=installed&app_type=&date=past30days&days_since_subscription_start=29&dialect=&geography=&m0_date_=&planid_removal=&subscription_age_week=&subscription_source=via_trial&tab=1123-m0-trends&time_grouping=day&user_cohort_identifier=,First 30 days from subscription,
Re-engagement (M0 users),M0 Habit %,Percentage of users who have watched for at least 8 unique watch days in their first 30 days of paid subscription out of total number of new subscribers in their first 30 days,"Dialect, Install Status, Install Status at the begining of the subscription, Plan Id, Time grouping, Geography, Trial watch days, Trial watch day bucket, First playback channel, Active watch days per active users, Active watch days per active users by dialect, platforms, App type",,M0 users watched at least for 8 unique days/M0 users,,Metabase,https://stage.metabaseapp.com/dashboard/2182-m0-engagement-action-plan?activity_count_bucket=&app_install_status=installed&app_install_status_for_habit=installed30&app_install_status_for_habit=installed&app_type=&date=past30days&days_since_subscription_start=29&dialect=&geography=&m0_date_=&planid_removal=&subscription_age_week=&subscription_source=via_trial&tab=1090-habit-moment&time_grouping=day&user_cohort_identifier=,First 30 days from subscription,
Re-engagement (M0 users),App open users,M0 users who are opening app ,"Dialect, Plan Id, Time grouping, Geography, Trial watch days, Trial watch day bucket, App type",,,,Metabase,https://stage.metabaseapp.com/dashboard/2182-m0-engagement-action-plan?activity_count_bucket=&app_install_status=installed&app_install_status_for_habit=installed30&app_install_status_for_habit=installed&app_type=&date=past30days&days_since_subscription_start=29&dialect=&geography=&m0_date_=&planid_removal=&subscription_age_week=&subscription_source=via_trial&tab=1123-m0-trends&time_grouping=day&user_cohort_identifier=,First 30 days from subscription,
Re-engagement (M0 users),Subscriber to Watcher till X-days,% of M0 users converting into watchers till 'X' day from subscriber,"Dialect, Install Status, Install Status at the begining of the subscription, Plan Id, Time grouping, Geography, Trial watch days, Trial watch day bucket, platforms, Average Watch days, Median Watch days, % watcher by trial active days, Average watch days by Trial active watch days, Subscribers by trial active days",,,,Metabase,https://stage.metabaseapp.com/dashboard/2182-m0-engagement-action-plan?activity_count_bucket=&app_install_status=installed&app_install_status_for_habit=installed30&app_install_status_for_habit=installed&app_type=&date=past30days&days_since_subscription_start=29&dialect=&geography=&m0_date_=&planid_removal=&subscription_age_week=&subscription_source=via_trial&tab=1091-week-till-day-journey&time_grouping=day&user_cohort_identifier=,First 30 days from subscription,
Re-engagement (M0 users),Campaign Conversion,Conversions we get from our CLM & Performance campaigns,"Dialect, CLM identifiers (for WhatsApp, SMS, RCS, PN, in-app), Digital Campaigns identifiers by performance team (Meta & Google campaigns)",,,,Amplitude,https://app.amplitude.com/analytics/STAGEAPP/dashboard/pjpujc7c,First 30 days from subscription,
Acquisition,Spends with GST,Total advertising spend inclusive of 18% GST applied at ingestion.,"creative, adset/adgroup, campaign, placement, channel, platform, show/content, date",Calendar-date spend. GST added at ingestion. Spend prorated across attribution cohort under last-click model.,spend * 1.18,SPEND_GST,Snowflake,,Calendar Date,appsflyer_view.snowflake_prod.cost_channel_view
Acquisition,Impressions,Total number of ad impressions served.,"creative, adset/adgroup, campaign, placement, channel, platform, show/content",Raw platform-reported impressions.,SUM(impressions),IMP,Snowflake,,Calendar Date,appsflyer_view.snowflake_prod.cost_channel_view
Acquisition,Clicks,Total number of ad clicks recorded.,"creative, adset/adgroup, campaign, placement, channel, platform, show/content",Raw platform-reported clicks under last-click attribution.,SUM(clicks),CLK,Snowflake,,Calendar Date,appsflyer_view.snowflake_prod.cost_channel_view
Acquisition,CPM,"Cost per 1,000 impressions inclusive of GST.","creative, adset/adgroup, campaign, placement, channel, platform, show/content","Spend with GST divided by impressions multiplied by 1,000.",(spend_gst / impressions) * 1000,CPM,Snowflake,,Calendar Date,appsflyer_view.snowflake_prod.cost_channel_view
Acquisition,CPC,Cost per click inclusive of GST.,"creative, adset/adgroup, campaign, placement, channel, platform, show/content",Spend with GST divided by clicks.,spend_gst / clicks,CPC,Snowflake,,Calendar Date,appsflyer_view.snowflake_prod.cost_channel_view
Acquisition,CTR,Percentage of impressions that resulted in clicks.,"creative, adset/adgroup, campaign, placement, channel, platform, show/content",Clicks divided by impressions.,clicks / impressions,CTR,Snowflake,,Calendar Date,appsflyer_view.snowflake_prod.cost_channel_view
Acquisition,IR (Install Rate),Percentage of clicks that resulted in an install within 7 days.,"creative, adset/adgroup, campaign, placement, channel, platform, show/content, date",Same-user install occurring within 7 days of click.,installs / clicks,IR,Snowflake,,D0–D7 post click,appsflyer_view.snowflake_prod.cost_channel_view
Acquisition,CPI,Cost incurred to acquire one install inclusive of GST.,"creative, adset/adgroup, campaign, placement, channel, platform, show/content, date",Spend with GST prorated across cohort divided by installs. NULL if installs = 0.,spend_gst / installs,CPI,Snowflake,,Attribution Cycle,appsflyer_view.snowflake_prod.cost_channel_view
Activation,SS2TA,Conversion rate from successful sign-up to trial activation.,"creative, adset/adgroup, campaign, placement, channel, platform, show/content, date",Same-user trial activation after sign-up within attribution window.,trial_activations / signups,SS2TA,Snowflake,,≤30 days,
Activation,I2TA,Conversion rate from install to trial activation.,"creative, adset/adgroup, campaign, placement, channel, platform, show/content, date",Same-user trial activation after install within attribution window.,trial_activations / installs,I2TA,Snowflake,,≤30 days,
Activation,CPSS with GST,Cost incurred to generate one successful sign-up.,"creative, adset/adgroup, campaign, placement, channel, platform, show/content, date",Total spend with GST divided by successful sign-ups. NULL if SS = 0.,spend_gst / signups,CPSS,Snowflake,,≤30 days,
Activation,CPTA with GST,Cost incurred to generate one trial activation.,"creative, adset/adgroup, campaign, placement, channel, platform, show/content, date",Total spend with GST divided by trial activations. NULL if TA = 0.,spend_gst / trial_activations,CPTA,Snowflake,,≤30 days,
Monetization,I2P,Conversion rate from install to paid subscriber.,"creative, adset/adgroup, campaign, placement, channel, platform, show/content, date",Same-user paid subscription after install within attribution window.,paid_subscribers / installs,I2P,Snowflake,,≤30 days,
Monetization,SS2P,Conversion rate from sign-up successful to paid subscriber.,"creative, adset/adgroup, campaign, placement, channel, platform, show/content, date",Same-user paid subscription after sign-up within attribution window.,paid_subscribers / signups,SS2P,Snowflake,,≤30 days,
Monetization,TA2P,Conversion rate from trial activation to paid subscriber.,"creative, adset/adgroup, campaign, placement, channel, platform, show/content, date",Same-user paid subscription after trial activation within attribution window.,paid_subscribers / trial_activations,TA2P,Snowflake,,≤30 days,
Monetization,CPP with GST,Cost incurred to acquire one paid subscriber.,"creative, adset/adgroup, campaign, placement, channel, platform, show/content, date",Total spend with GST divided by paid subscribers. NULL if P = 0.,spend_gst / paid_subscribers,CPP,Snowflake,,≤30 days,
Retention,D0 Retention,Percentage of cohort that consumed content on the same day as trial activation.,"creative, adset/adgroup, campaign, placement, channel, platform, show/content, date",Cohort anchored on trial activation. ≥1 stream on Day 0.,retained_d0 / cohort_size,D0_RET,Snowflake,,Day 0,fct_user_content_watch_daily
Retention,D1 Retention,Percentage of cohort that consumed content within Day 1 window.,"creative, adset/adgroup, campaign, placement, channel, platform, show/content, date",Cohort anchored on trial activation. ≥1 stream within Day 1.,retained_d1 / cohort_size,D1_RET,Snowflake,,Day 1,fct_user_content_watch_daily
Retention,D7 Retention,Percentage of cohort that consumed content within Day 1–7 window.,"creative, adset/adgroup, campaign, placement, channel, platform, show/content, date",Cohort anchored on trial activation. ≥1 stream within Day 1–7.,retained_d7 / cohort_size,D7_RET,Snowflake,,Day 7,fct_user_content_watch_daily
Retention,D10 Retention,Percentage of cohort that consumed content within Day 1–10 window.,"creative, adset/adgroup, campaign, placement, channel, platform, show/content, date",Cohort anchored on trial activation. ≥1 stream within Day 1–10.,retained_d10 / cohort_size,D10_RET,Snowflake,,Day 10,fct_user_content_watch_daily
Retention,D30 Retention,Percentage of cohort that consumed content within Day 1–30 window.,"creative, adset/adgroup, campaign, placement, channel, platform, show/content, date",Cohort anchored on trial activation. ≥1 stream within Day 1–30.,retained_d30 / cohort_size,D30_RET,Snowflake,,Day 30,fct_user_content_watch_daily
Revenue,10D-ROI,Return on investment based on subscription revenue generated within 10 days of trial activation.,"creative, adset/adgroup, campaign, placement, channel, platform, show/content, date",Subscription revenue within 10 days of TA divided by spend with GST.,revenue_10d / spend_gst,10D_ROI,Snowflake,,D0–D10,fct_user_content_watch_daily
Revenue,SM-ROI,Return on investment based on revenue generated in the same calendar month as spend.,"creative, adset/adgroup, campaign, placement, channel, platform, show/content, date",Same-month subscription revenue divided by spend with GST.,revenue_sm / spend_gst,SM_ROI,Snowflake,,Calendar Month,fct_user_content_watch_daily
Revenue,10DR/TA,Ten-day revenue generated per trial activation.,"creative, adset/adgroup, campaign, placement, channel, platform, show/content, date",Subscription revenue within 10 days divided by trial activations.,revenue_10d / trial_activations,10DR_TA,Snowflake,,D0–D10,fct_user_content_watch_daily
Revenue,SMR/TA,Same-month revenue generated per trial activation.,"creative, adset/adgroup, campaign, placement, channel, platform, show/content, date",Same-month subscription revenue divided by trial activations.,revenue_sm / trial_activations,SMR_TA,Snowflake,,Calendar Month,fct_user_content_watch_daily
Lifetime,CAC Payback Period,Number of days until cumulative revenue equals or exceeds CAC.,"creative, adset/adgroup, campaign, placement, channel, platform, show/content, date",First day where cumulative revenue ≥ CAC for the cohort.,MIN(day) WHERE cumulative_revenue ≥ CAC,CAC_PAYBACK,Snowflake,,Cohort Lifetime,fct_user_content_watch_daily
Lifetime,LTR,Lifetime realized subscription revenue for the cohort.,"creative, adset/adgroup, campaign, placement, channel, platform, show/content, date",Sum of subscription revenue until 365 days of inactivity.,SUM(revenue),LTR,Snowflake,,Lifetime,fct_user_content_watch_daily
Lifetime,LTR:CAC,Ratio of lifetime realized revenue to customer acquisition cost.,"creative, adset/adgroup, campaign, placement, channel, platform, show/content, date",Lifetime revenue divided by CAC.,ltr / cac,LTR_CAC,Snowflake,,Lifetime,fct_user_content_watch_daily
Lifetime,LTV:CAC,Ratio of conservatively modeled lifetime value to customer acquisition cost.,"creative, adset/adgroup, campaign, placement, channel, platform, show/content, date",Modeled LTV defined as realized LTR discounted by 20% divided by CAC.,(ltr * 0.8) / cac,LTV_CAC,Snowflake,,Lifetime,fct_user_content_watch_daily
Subscription,D10 Subscription,Number of paid subscribers achieved by Day 10.,"creative, adset/adgroup, campaign, placement, channel, platform, show/content, date",Ever paid subscribers by Day 10 for TA-anchored cohort.,subs_d10,D10_SUB,Snowflake,,Day 10,ANALYTICS_PROD.DBT_CORE.FCT_USER_SUBSCRIPTION_HISTORY 
Subscription,D10 Subscription CAC with GST,Cost per paid subscriber achieved by Day 10.,"creative, adset/adgroup, campaign, placement, channel, platform, show/content, date",Spend with GST divided by paid subscribers achieved by Day 10.,spend_gst / subs_d10,D10_SUB_CAC,Snowflake,,Day 10,ANALYTICS_PROD.DBT_CORE.FCT_USER_SUBSCRIPTION_HISTORY 
Subscription,D10 Subscription Rate %,Percentage of trial activations converted to paid by Day 10.,"creative, adset/adgroup, campaign, placement, channel, platform, show/content, date",Paid subscribers by Day 10 divided by trial activations.,subs_d10 / trial_activations,D10_SUB_RATE,Snowflake,,Day 10,ANALYTICS_PROD.DBT_CORE.FCT_USER_SUBSCRIPTION_HISTORY 
Subscription,D15 Subscription,Number of paid subscribers achieved by Day 15.,"creative, adset/adgroup, campaign, placement, channel, platform, show/content, date",Ever paid subscribers by Day 15 for TA-anchored cohort.,subs_d15,D15_SUB,Snowflake,,Day 15,ANALYTICS_PROD.DBT_CORE.FCT_USER_SUBSCRIPTION_HISTORY 
Subscription,D15 Subscription CAC with GST,Cost per paid subscriber achieved by Day 15.,"creative, adset/adgroup, campaign, placement, channel, platform, show/content, date",Spend with GST divided by paid subscribers achieved by Day 15.,spend_gst / subs_d15,D15_SUB_CAC,Snowflake,,Day 15,ANALYTICS_PROD.DBT_CORE.FCT_USER_SUBSCRIPTION_HISTORY 
Subscription,D15 Subscription Rate %,Percentage of trial activations converted to paid by Day 15.,"creative, adset/adgroup, campaign, placement, channel, platform, show/content, date",Paid subscribers by Day 15 divided by trial activations.,subs_d15 / trial_activations,D15_SUB_RATE,Snowflake,,Day 15,ANALYTICS_PROD.DBT_CORE.FCT_USER_SUBSCRIPTION_HISTORY 
Subscription,D30 Subscription,Number of paid subscribers achieved by Day 30.,"creative, adset/adgroup, campaign, placement, channel, platform, show/content, date",Ever paid subscribers by Day 30 for TA-anchored cohort.,subs_d30,D30_SUB,Snowflake,,Day 30,ANALYTICS_PROD.DBT_CORE.FCT_USER_SUBSCRIPTION_HISTORY 
Subscription,D30 Subscription CAC with GST,Cost per paid subscriber achieved by Day 30.,"creative, adset/adgroup, campaign, placement, channel, platform, show/content, date",Spend with GST divided by paid subscribers achieved by Day 30.,spend_gst / subs_d30,D30_SUB_CAC,Snowflake,,Day 30,ANALYTICS_PROD.DBT_CORE.FCT_USER_SUBSCRIPTION_HISTORY 
Subscription,D30 Subscription Rate %,Percentage of trial activations converted to paid by Day 30.,"creative, adset/adgroup, campaign, placement, channel, platform, show/content, date",Paid subscribers by Day 30 divided by trial activations.,subs_d30 / trial_activations,D30_SUB_RATE,Snowflake,,Day 30,ANALYTICS_PROD.DBT_CORE.FCT_USER_SUBSCRIPTION_HISTORY 
Subscription,D60 Subscription,Number of paid subscribers achieved by Day 60.,"creative, adset/adgroup, campaign, placement, channel, platform, show/content, date",Ever paid subscribers by Day 60 for TA-anchored cohort.,subs_d60,D60_SUB,Snowflake,,Day 60,ANALYTICS_PROD.DBT_CORE.FCT_USER_SUBSCRIPTION_HISTORY 
Subscription,D60 Subscription CAC with GST,Cost per paid subscriber achieved by Day 60.,"creative, adset/adgroup, campaign, placement, channel, platform, show/content, date",Spend with GST divided by paid subscribers achieved by Day 60.,spend_gst / subs_d60,D60_SUB_CAC,Snowflake,,Day 60,ANALYTICS_PROD.DBT_CORE.FCT_USER_SUBSCRIPTION_HISTORY 
Subscription,D60 Subscription Rate %,Percentage of trial activations converted to paid by Day 60.,"creative, adset/adgroup, campaign, placement, channel, platform, show/content, date",Paid subscribers by Day 60 divided by trial activations.,subs_d60 / trial_activations,D60_SUB_RATE,Snowflake,,Day 60,ANALYTICS_PROD.DBT_CORE.FCT_USER_SUBSCRIPTION_HISTORY 
Subscription,D90 Subscription,Number of paid subscribers achieved by Day 90.,"creative, adset/adgroup, campaign, placement, channel, platform, show/content, date",Ever paid subscribers by Day 90 for TA-anchored cohort.,subs_d90,D90_SUB,Snowflake,,Day 90,ANALYTICS_PROD.DBT_CORE.FCT_USER_SUBSCRIPTION_HISTORY 
Subscription,D90 Subscription CAC with GST,Cost per paid subscriber achieved by Day 90.,"creative, adset/adgroup, campaign, placement, channel, platform, show/content, date",Spend with GST divided by paid subscribers achieved by Day 90.,spend_gst / subs_d90,D90_SUB_CAC,Snowflake,,Day 90,ANALYTICS_PROD.DBT_CORE.FCT_USER_SUBSCRIPTION_HISTORY 
Subscription,D90 Subscription Rate %,Percentage of trial activations converted to paid by Day 90.,"creative, adset/adgroup, campaign, placement, channel, platform, show/content, date",Paid subscribers by Day 90 divided by trial activations.,subs_d90 / trial_activations,D90_SUB_RATE,Snowflake,,Day 90,ANALYTICS_PROD.DBT_CORE.FCT_USER_SUBSCRIPTION_HISTORY 
Monetization,D0 TCR%,Percentage of trial activations that were cancelled on the same day as trial activation.,"creative, adset/adgroup, campaign, placement, channel, platform, show/content, date",Cohort anchored on trial activation. Same-user trial cancellation occurring on the same calendar day (Day 0) as trial activation.,trial_cancellations_d0 / trial_activations,D0_TCR,Snowflake,,Day 0,ANALYTICS_PROD.DBT_CORE.FCT_USER_SUBSCRIPTION_HISTORY 
Activation,Signup Successful,Number of unique users who successfully created an account.,"creative, adset/adgroup, campaign, placement, channel, platform, show/content, date",Account creation event. Deduped per device per attribution cycle. Occurs after install.,signups,SS,Snowflake,,≤30 days post install,ANALYTICS_PROD.DBT_CORE.FCT_USER_SUBSCRIPTION_HISTORY 
Activation,Trial Activated,Number of unique users who were granted a trial entitlement.,"creative, adset/adgroup, campaign, placement, channel, platform, show/content, date",Trial entitlement granted. Deduped per device per attribution cycle. Cohort anchor for retention and monetization.,trial_activations,TA,Snowflake,,≤30 days post install,ANALYTICS_PROD.DBT_CORE.FCT_USER_SUBSCRIPTION_HISTORY 
Monetization,Paid Subscriber,Number of unique users who completed their first successful subscription charge.,"creative, adset/adgroup, campaign, placement, channel, platform, show/content, date",First successful charge event. Deduped per device per attribution cycle. No refunds or chargebacks applied.,paid_subscribers,P,Snowflake,,≤30 days post trial activation,ANALYTICS_PROD.DBT_CORE.FCT_USER_SUBSCRIPTION_HISTORY 
Monetization,D1–D9 TCR%,Percentage of trial activations that were cancelled between Day 1 and Day 9 after trial activation.,"creative, adset/adgroup, campaign, placement, channel, platform, show/content, date",Cohort anchored on trial activation. Same-user trial cancellation occurring on calendar days 1 through 9 (inclusive) after trial activation.,trial_cancellations_d1_d9 / trial_activations,D1_D9_TCR,Snowflake,,Day 1–9,ANALYTICS_PROD.DBT_CORE.FCT_USER_SUBSCRIPTION_HISTORY 
Activation,Install to Sign-up Successful %,Percentage of installs that resulted in a successful account sign-up.,"creative, adset/adgroup, campaign, placement, channel, platform, show/content, date",Same-user sign-up successful occurring after install within attribution window.,installs_to_signup / installs,I2SS,Snowflake,,≤30 days post install,derived metric